Term,Count,PValue,Genes,Fold Enrichment,Bonferroni,Benjamini,FDR
hsa05152:Tuberculosis,89,1.67E-22,"CIITA, ITGAM, ITGB2, TCIRG1, CTSS, CASP9, PPP3CA, PPP3CB, FCGR3A, PPP3CC, CASP8, CASP10, CASP3, AKT2, AKT3, AKT1, EP300, JAK2, CTSD, JAK1, ATP6V0B, CR1, ATP6AP1, APAF1, SYK, IFNGR1, SPHK2, RIPK2, IFNGR2, SPHK1, IL18, IRAK4, RHOA, TNFRSF1A, CREB1, TRAF6, PIK3C3, RAF1, ATP6V0D1, ATP6V0C, TLR4, CAMK2D, RAB5C, MALT1, RELA, HSPD1, C3, MAPK9, PPP3R1, MAPK8, IRAK1, ATP6V1H, MAPK1, CD14, FADD, FCGR1A, CAMK2G, ATP6V0A1, MAPK3, HSPA9, CD74, PLK3, TGFB2, CREBBP, TGFB1, NFYA, TGFB3, IL10RB, BAD, NFYB, STAT1, IL10RA, MAPK14, MAPK12, NFKB1, MAPK13, MAPK10, MAPK11, FCGR2A, HLA-DPB1, BCL2, CYCS, BAX, CALM3, CALM1, FCGR2C, CALM2, RAB5A, HLA-DRB1",2.80681129,5.37E-20,1.22E-21,4.33E-22
hsa05415:Diabetic cardiomyopathy,96,1.85E-22,"NCF1, NDUFA11, NDUFA12, NCF2, NCF4, PTEN, ATP2A3, PIK3CD, ATP2A2, PPP1CB, PPP1CC, CPT2, AKT2, AKT3, RAC2, AKT1, UQCRFS1, RAC1, CTSD, PDK2, PARP1, MMP2, PRKCD, CYBB, NDUFC2, PRKCA, NDUFC1, CYBA, SDHD, SDHB, TGFBR1, TGFBR2, PLCB3, PLCB4, NDUFS8, NDUFS7, PIK3CA, NDUFS6, NDUFS5, NDUFS4, UQCRC1, NDUFS2, PPARA, GAPDH, PLCB2, NDUFB9, CAMK2D, NDUFB8, NDUFB7, UQCRB, NDUFB6, NDUFB10, NDUFB11, NDUFB4, NDUFB2, PIK3R3, NDUFB1, PIK3R2, UQCR11, PDHB, PIK3R1, COX5A, PRKCZ, RELA, MAPK9, MAPK8, PLN, NDUFV3, NDUFV2, CAMK2G, SMAD2, NDUFA8, TGFB2, TGFB1, PDHA1, NDUFA6, SMAD3, TGFB3, NDUFA4, NDUFA3, NDUFA2, GFPT1, GSR, NDUFA1, MAPK14, MAPK12, NFKB1, MAPK13, PPP1CA, MAPK10, COL1A1, MAPK11, COL3A1, COL1A2, SP1, NDUFAB1",2.68454636,5.94E-20,1.32E-21,4.69E-22
hsa04114:Oocyte meiosis,73,1.89E-22,"YWHAE, YWHAB, SMC3, CDC20, PPP1CB, PPP3CA, PPP1CC, PPP3CB, PPP3CC, CDC23, PPP2R1B, YWHAQ, PPP2R1A, PPP2R5E, CDC26, CDC27, PRKACA, PRKACB, YWHAG, SKP1, YWHAH, MAP2K1, ANAPC7, PPP2R5B, PPP2R5A, PPP2R5D, PPP2R5C, SMC1A, YWHAZ, RBX1, ADCY9, ANAPC4, ANAPC5, ANAPC1, ANAPC2, CAMK2D, ANAPC16, CUL1, ADCY4, ITPR1, ADCY3, ITPR2, ITPR3, ADCY7, ANAPC10, ADCY6, ANAPC11, PPP2CA, PPP2CB, CCNB2, PPP3R1, CCNB1, MAPK1, CAMK2G, BUB1, MAPK3, IGF1, MAPK14, MAPK12, MAPK13, PPP1CA, MAD2L2, MAPK11, CDC16, CDK2, CDK1, CALM3, CALM1, CPEB3, CPEB2, CALM2, CPEB4, MAD2L1",3.163350232,6.07E-20,1.32E-21,4.69E-22
hsa04910:Insulin signaling pathway,75,1.99E-22,"PDE3B, INPPL1, ARAF, PIK3CD, PRKAG2, IRS2, CBLB, ELK1, CRKL, RPTOR, IKBKB, PPP1CB, PPP1CC, AKT2, AKT3, AKT1, PRKACA, PRKACB, HRAS, MAP2K1, MAP2K2, PDPK1, RPS6, TSC1, PHKA2, PRKAB1, PPP1R3F, PPP1R3C, PIK3CA, PRKAR1B, PPP1R3B, PRKAR1A, PPP1R3E, PPP1R3D, RAPGEF1, RAF1, SOS1, CRK, SOS2, RHOQ, SHC2, PRKAA1, PRKAA2, SHC3, SHC1, PIK3R3, PIK3R2, PIK3R1, CBL, ACACB, PRKCZ, FOXO1, MAPK9, MAPK8, SOCS1, PRKAR2B, PRKAR2A, PHKG2, MAPK1, MAPK3, PCK2, BAD, BRAF, SORBS1, PPP1CA, MAPK10, RPS6KB1, FASN, RPS6KB2, TRIP10, KRAS, CALM3, GRB2, CALM1, CALM2",3.107680834,6.38E-20,1.36E-21,4.82E-22
hsa05164:Influenza A,86,2.19E-22,"CIITA, NXT1, PIK3CD, ACTB, ICAM1, ACTG1, IFIH1, PYCARD, CASP9, IKBKB, CCND3, TBK1, CASP8, XPO1, CASP3, AKT2, AKT3, TNFSF10, CASP1, AKT1, EP300, IKBKG, JAK2, KPNA2, IKBKE, JAK1, KPNA1, IFNAR2, MAP2K1, MAP2K2, APAF1, CHUK, IFNGR1, IFNGR2, IL18, PRKCA, TYK2, IRAK4, TICAM1, TNFRSF1A, DNAJC3, PIK3CA, IRF3, HNRNPUL1, IRF7, TLR7, NUP98, RAF1, TLR4, IRF9, TLR3, IFNAR1, NLRX1, PIK3R3, PIK3R2, PIK3R1, RELA, NXF1, PABPN1, CCL5, MAPK1, BAK1, FADD, RAE1, MAPK3, CPSF4, FDPS, CREBBP, STAT1, STAT2, EIF2AK2, TNFRSF10A, EIF2S1, NFKB1, PML, NFKBIA, CXCL10, MAVS, CDK6, CDK4, HLA-DPB1, CYCS, BAX, FAS, HLA-DRB1, NFKBIB",2.854947025,7.04E-20,1.47E-21,5.21E-22
hsa04012:ErbB signaling pathway,56,4.11E-22,"CDKN1A, CDKN1B, ARAF, PIK3CD, CBLB, ELK1, CRKL, MYC, AKT2, AKT3, NCK2, AKT1, HRAS, MAP2K4, MAP2K1, MAP2K2, GAB1, PRKCA, BTC, PIK3CA, RAF1, SOS1, CRK, SOS2, SHC2, CAMK2D, SHC3, SHC1, PIK3R3, TGFA, PIK3R2, PIK3R1, CBL, EGFR, MAPK9, MAPK8, ERBB2, ABL1, PLCG2, ABL2, MAPK1, PLCG1, MAP2K7, CAMK2G, PAK2, PAK4, MAPK3, STAT5B, JUN, BAD, BRAF, MAPK10, RPS6KB1, RPS6KB2, KRAS, GRB2",3.739941547,1.32E-19,2.64E-21,9.37E-22
hsa05214:Glioma,52,4.54E-22,"RB1, CDKN1A, PTEN, ARAF, PIK3CD, CCND1, AKT2, AKT3, AKT1, POLK, HRAS, PDGFRB, MAP2K1, MAP2K2, PRKCA, PIK3CA, RAF1, SOS1, TP53, SOS2, SHC2, CAMK2D, SHC3, SHC1, PDGFB, PDGFA, PIK3R3, TGFA, PIK3R2, PIK3R1, EGFR, E2F1, PLCG2, MAPK1, E2F3, BAK1, PLCG1, CAMK2G, MAPK3, CDKN2A, BRAF, IGF1, CDK6, CDK4, CAMK4, MDM2, BAX, KRAS, CALM3, GRB2, CALM1, CALM2",3.935843247,1.46E-19,2.86E-21,1.02E-21
hsa05162:Measles,75,6.32E-22,"CDKN1B, PIK3CD, TNFAIP3, CBLB, CD3D, IFIH1, CASP9, IKBKB, CCND3, TBK1, CASP8, CCND1, CASP3, AKT2, AKT3, AKT1, IKBKG, JAK3, IKBKE, MAP3K7, JAK1, IFNAR2, APAF1, CHUK, CSNK2A2, TYK2, FOS, IRAK4, PIK3CA, IRF3, TRAF6, IRF7, TLR7, TLR4, TP53, IRF9, IFNAR1, PIK3R3, PIK3R2, PIK3R1, RCHY1, RELA, MAPK9, MAPK8, IRAK1, BAK1, FADD, HSPA8, STAT5B, JUN, BAD, STAT1, STAT2, HSPA6, STAT3, EIF2AK3, EIF2AK2, EIF2AK4, HSPA2, EIF2S1, NFKB1, NFKBIA, MAPK10, MAVS, CDK6, CDK4, CDK2, CD28, BCL2, CYCS, BAX, FAS, TAB2, NFKBIB, BCL2L1",3.062966002,2.03E-19,3.83E-21,1.36E-21
hsa04210:Apoptosis,74,6.32E-22,"PIK3CD, ACTB, CTSS, ACTG1, CASP9, IKBKB, TUBA1C, TUBA1B, CASP7, CASP8, CASP10, CASP3, AKT2, CTSK, AKT3, TNFSF10, CAPN2, AKT1, CTSH, IKBKG, HRAS, CTSD, CTSC, CTSB, MAP2K1, MAP2K2, PARP1, APAF1, CHUK, PDPK1, TRAF2, TRAF1, FOS, TUBA4A, TNFRSF1A, ERN1, PIK3CA, RAF1, TP53, BIRC2, BIRC3, ATF4, ITPR1, PIK3R3, XIAP, ITPR2, PIK3R2, ITPR3, PIK3R1, RELA, MAPK9, MAPK8, BCL2L11, MAPK1, RIPK1, BAK1, FADD, MAPK3, JUN, BAD, EIF2AK3, TNFRSF10A, EIF2S1, NFKB1, NFKBIA, MAPK10, BCL2, CYCS, BAX, FAS, KRAS, ATM, MAP3K14, BCL2L1",3.08879101,2.03E-19,3.83E-21,1.36E-21
hsa04932:Non-alcoholic fatty liver disease,80,9.27E-22,"GSK3A, NDUFA11, NDUFA12, PIK3CD, PRKAG2, IRS2, IKBKB, CASP7, CASP8, CASP3, AKT2, AKT3, AKT1, UQCRFS1, RAC1, NDUFC2, TRAF2, NDUFC1, FOS, SDHD, PRKAB1, SDHB, TNFRSF1A, ERN1, NDUFS8, NDUFS7, PIK3CA, NDUFS6, NDUFS5, NDUFS4, UQCRC1, NDUFS2, PPARA, ATF4, NDUFB9, PRKAA1, NDUFB8, PRKAA2, NDUFB7, UQCRB, NDUFB6, NDUFB10, NDUFB11, NDUFB4, NDUFB2, PIK3R3, NDUFB1, PIK3R2, UQCR11, PIK3R1, COX5A, RELA, CDC42, MAPK9, MAPK8, BCL2L11, RXRA, NDUFV3, NDUFV2, NDUFA8, JUN, XBP1, TGFB1, NDUFA6, NDUFA4, NDUFA3, NDUFA2, NDUFA1, EIF2AK3, MAPK14, EIF2S1, MAPK12, NFKB1, MAPK13, MAPK10, MAPK11, NDUFAB1, CYCS, BAX, FAS",2.929908124,2.98E-19,5.51E-21,1.96E-21
hsa05022:Pathways of neurodegeneration - multiple diseases,168,1.62E-21,"NDUFA11, NDUFA12, ARAF, UBE2L6, PSMD8, PSMD9, PSMD6, TUBB6, PSMD7, TBK1, PSMD4, TUBB3, PSMD2, KIF5B, PSMD3, CAPN2, PSMD1, MAP2K3, MAP2K1, MAP2K2, CSNK2A2, CYBB, PRKCA, CSNK1E, SDHD, SDHB, TUBA4A, ERN1, UQCRC1, RAF1, UBA52, SQSTM1, ATF4, PSMD12, VCP, PSMD11, NDUFB10, UBA7, UQCRB, PSMD14, NDUFB11, PSMD13, PSEN2, ITPR1, ITPR2, CACNA1D, ITPR3, CACNA1C, KLC4, PPP3R1, UBB, UBC, FADD, NDUFV3, PLCG1, NDUFV2, MAP2K7, MAP2K6, XBP1, EIF2AK3, BRAF, EIF2S1, NFKB1, CDK5, GNAQ, BCL2, CYCS, CALM3, CALM1, CALM2, DNAL4, RAB5A, BCL2L1, ATP2A3, ATP2A2, CASP9, TUBA1C, PPP3CA, CASP7, TUBA1B, ACTR1A, PPP3CB, CASP8, ACTR1B, PPP3CC, CASP3, UQCRFS1, RAC1, HRAS, GPX1, APAF1, GPX7, NDUFC2, TRAF2, NDUFC1, TNFRSF1A, PSMA5, PSMA6, PSMA3, PLCB3, PSMA4, TUBB2A, NDUFS8, PLCB4, NDUFS7, PSMA1, PSMA2, NDUFS6, NDUFS5, CAT, NDUFS4, NDUFS2, PIK3C3, PLCB2, NDUFB9, RAB1A, CAMK2D, NDUFB8, NDUFB7, DCTN2, NDUFB6, DCTN1, NDUFB4, DCTN4, DCTN3, NDUFB2, NDUFB1, UQCR11, COX5A, PSMA7, RELA, LRP6, PSMB6, MAPK9, PSMB4, MAPK8, PSMB5, PSMB2, PSMB3, PSMB1, MAPK1, BAK1, RPS27A, CAMK2G, MAPK3, NDUFA8, NDUFA6, BAD, NDUFA4, NDUFA3, NDUFA2, NDUFA1, MAPK14, MAPK12, MAPK13, MAPK10, MAPK11, PSMC5, PSMC6, PSMC3, PSMC4, PSMC1, PSMC2, NDUFAB1, BAX, FAS, CTNNB1, KRAS",2.003540114,5.18E-19,9.43E-21,3.35E-21
hsa04668:TNF signaling pathway,65,2.62E-21,"ATF2, PIK3CD, TNFAIP3, CXCL2, CX3CL1, ICAM1, IKBKB, CASP7, CASP8, CASP10, CREB3L4, CASP3, AKT2, CREB3L1, AKT3, CREB3L2, AKT1, MAP3K8, IKBKG, MAP3K7, MAP2K3, MAP2K4, MAP2K1, RIPK3, CHUK, TRAF2, TRAF1, FOS, TNFRSF1A, CREB3, MMP14, CREB1, PIK3CA, BIRC2, BIRC3, ATF4, CREB5, PIK3R3, PIK3R2, PIK3R1, RELA, MAPK9, MAPK8, CCL5, MAPK1, RIPK1, FADD, MAP2K7, MAPK3, MAP2K6, JUN, VCAM1, MAPK14, MAPK12, NFKB1, MAPK13, NFKBIA, MAPK10, CXCL10, MAPK11, FAS, TAB3, TAB2, TAB1, MAP3K14",3.294511647,8.42E-19,1.50E-20,5.34E-21
hsa05012:Parkinson disease,112,4.25E-21,"NDUFA11, NDUFA12, UBE2L6, PSMD8, PSMD9, PSMD6, TUBB6, PSMD7, PSMD4, TUBB3, PSMD2, KIF5B, PSMD3, PSMD1, PRKACA, SLC39A1, PRKACB, SDHD, SDHB, TUBA4A, ERN1, UQCRC1, UBA52, TP53, ATF4, PSMD12, PSMD11, NDUFB10, UBA7, UQCRB, PSMD14, NDUFB11, PSMD13, ITPR1, ITPR2, ITPR3, KLC4, UBB, UBC, NDUFV3, PLCG1, NDUFV2, XBP1, EIF2AK3, EIF2S1, GNAL, GNAS, CYCS, CALM3, CALM1, CALM2, BCL2L1, CASP9, TUBA1C, TUBA1B, CASP3, UQCRFS1, APAF1, NDUFC2, NDUFC1, PSMA5, PSMA6, PSMA3, PSMA4, TUBB2A, NDUFS8, NDUFS7, PSMA1, PSMA2, NDUFS6, NDUFS5, NDUFS4, NDUFS2, NDUFB9, CAMK2D, NDUFB8, NDUFB7, NDUFB6, NDUFB4, NDUFB2, GNAI3, NDUFB1, UQCR11, COX5A, PSMA7, GNAI1, GNAI2, PSMB6, MAPK9, PSMB4, MAPK8, PSMB5, PSMB2, PSMB3, PSMB1, RPS27A, CAMK2G, NDUFA8, NDUFA6, NDUFA4, NDUFA3, NDUFA2, NDUFA1, MAPK10, PSMC5, PSMC6, PSMC3, PSMC4, PSMC1, PSMC2, NDUFAB1, BAX",2.390188207,1.36E-18,2.39E-20,8.50E-21
hsa04914:Progesterone-mediated oocyte maturation,61,6.23E-21,"PDE3B, ARAF, PIK3CD, CDC23, CDC26, AKT2, AKT3, CDC27, AKT1, PRKACA, PRKACB, MAP2K1, HSP90AA1, ANAPC7, KIF22, CDC25B, CCNA2, ADCY9, PIK3CA, ANAPC4, ANAPC5, RAF1, ANAPC1, ANAPC2, ANAPC16, ADCY4, GNAI3, PIK3R3, ADCY3, PIK3R2, PIK3R1, ADCY7, ANAPC10, GNAI1, ADCY6, ANAPC11, GNAI2, CCNB2, MAPK9, FZR1, MAPK8, CCNB1, MAPK1, BUB1, MAPK3, BRAF, IGF1, MAPK14, MAPK12, MAPK13, MAD2L2, MAPK10, MAPK11, CDC16, CDK2, CDK1, KRAS, CPEB3, CPEB2, CPEB4, MAD2L1",3.394887416,2.00E-18,3.45E-20,1.22E-20
hsa04664:Fc epsilon RI signaling pathway,48,6.71E-21,"PIK3CD, PIK3R3, PIK3R2, PIK3R1, MAPK9, MAPK8, AKT2, ALOX5, INPP5D, AKT3, PLCG2, RAC2, AKT1, MAPK1, FYN, PLCG1, RAC1, MAP2K7, HRAS, MAPK3, MAP2K6, VAV3, LYN, MAP2K3, MAP2K4, MAP2K1, MAP2K2, SYK, PDPK1, PLA2G4C, PLA2G4A, PRKCA, GAB2, MAPK14, MAPK12, VAV1, MAPK13, VAV2, MAPK10, MAPK11, PIK3CA, BTK, GRB2, KRAS, RAF1, SOS1, SOS2, LAT",4.007080229,2.16E-18,3.65E-20,1.30E-20
hsa04010:MAPK signaling pathway,119,1.06E-20,"ATF2, ARAF, FGF2, ELK1, CRKL, MYC, AKT2, AKT3, AKT1, MAP3K8, PRKACA, PRKACB, MAP3K7, PDGFRB, MAP2K3, MAP2K4, MAP2K1, MAP2K2, HGF, PRKCA, CDC25B, CACNB1, CACNB3, MAPKAPK2, RAF1, TP53, ATF4, MAX, PDGFB, PDGFA, TGFA, CACNA1D, CACNA1C, STK4, EFNA5, NLK, RASGRP1, RASGRP3, RAP1B, PPP3R1, RAP1A, IRAK1, PDGFC, CD14, MAP2K7, MAP2K6, HSPA8, TGFB2, JUN, TGFB1, JUND, TGFB3, HSPA6, NFATC3, BRAF, IGF1, HSPA2, GNG12, NFKB1, NFKB2, EFNA1, GRB2, TAB2, TAB1, MAP3K14, FGFR1, ARRB1, ARRB2, DUSP16, IKBKB, PPP3CA, PPP3CB, PPP3CC, DUSP10, CASP3, RAC2, IKBKG, RAC1, HRAS, DUSP2, CHUK, PLA2G4C, PLA2G4A, TRAF2, FOS, IRAK4, DUSP8, DUSP6, TGFBR1, TGFBR2, TNFRSF1A, TRAF6, RASA1, RASA2, SOS1, CRK, MET, SOS2, RELA, EGFR, RELB, CDC42, MAPK9, MAPK8, ERBB2, FLNA, MAPK1, PAK2, MAPK3, MAP3K1, MAPK14, MAPK12, MAPK13, MAPK10, MAPK11, KITLG, TAOK1, FAS, KRAS",2.297710687,3.39E-18,5.65E-20,2.01E-20
hsa04728:Dopaminergic synapse,71,1.11E-20,"ATF2, GSK3A, PPP2R2A, ARRB1, ARRB2, PPP1CB, PPP3CA, PPP1CC, PPP3CB, PPP3CC, PPP2R1B, PPP2R1A, PPP2R5E, CREB3L4, AKT2, KIF5B, CREB3L1, AKT3, CREB3L2, AKT1, PRKACA, PRKACB, PPP2R5B, PPP2R5A, PPP2R5D, PRKCA, PPP2R5C, FOS, CREB3, PLCB3, PLCB4, CREB1, PLCB2, ATF4, CREB5, CAMK2D, GNAI3, ITPR1, ITPR2, CACNA1D, ITPR3, CACNA1C, GNAI1, GNAI2, PPP2CA, PPP2CB, MAPK9, MAPK8, GNG2, GNG5, PPP2R3C, CAMK2G, PPP2R3A, MAPK14, GNG12, GNG11, MAPK12, MAPK13, PPP1CA, MAPK10, MAPK11, GNAL, GNAQ, GNB2, GNB1, GNB4, GNAS, CALM3, GNB5, CALM1, CALM2",3.053374897,3.57E-18,5.85E-20,2.08E-20
hsa05211:Renal cell carcinoma,48,1.74E-20,"CDKN1A, PDGFB, ARAF, PIK3CD, PIK3R3, TGFA, PIK3R2, PIK3R1, ETS1, CRKL, RAP1B, CDC42, FLCN, RAP1A, AKT2, AKT3, AKT1, MAPK1, EP300, RAC1, HRAS, PAK2, MAPK3, PAK4, ARNT2, TGFB2, JUN, EGLN3, MAP2K1, CREBBP, TGFB1, MAP2K2, TGFB3, BAD, HGF, GAB1, PTPN11, BRAF, RBX1, PIK3CA, RAPGEF1, GRB2, KRAS, RAF1, SOS1, MET, CRK, SOS2",3.949006602,5.60E-18,9.03E-20,3.21E-20
hsa04625:C-type lectin receptor signaling pathway,61,2.42E-20,"PIK3CD, CBLB, PYCARD, IKBKB, PPP3CA, PPP3CB, PPP3CC, CASP8, AKT2, AKT3, CASP1, AKT1, IKBKG, IKBKE, HRAS, SYK, CHUK, PRKCD, RHOA, PIK3CA, MAPKAPK2, RAF1, IRF9, ITPR1, PIK3R3, ITPR2, PIK3R2, ITPR3, PIK3R1, MALT1, RELA, RELB, MAPK9, PPP3R1, MAPK8, PLCG2, MAPK1, MAPK3, PLK3, JUN, CCL22, STAT1, STAT2, NFATC3, NFATC2, PTPN11, MAPK14, MAPK12, NFKB1, NFKB2, MAPK13, NFKBIA, MAPK10, CYLD, MAPK11, MDM2, KRAS, CALM3, CALM1, CALM2, MAP3K14",3.32960112,7.78E-18,1.23E-19,4.39E-20
hsa04912:GnRH signaling pathway,57,2.67E-20,"ELK1, PRKACA, PRKACB, HRAS, MAP2K3, MAP2K4, MAP2K1, MAP2K2, MMP2, PLA2G4C, PRKCD, PLA2G4A, PRKCA, PLCB3, MMP14, PLCB4, ADCY9, RAF1, SOS1, PLCB2, SOS2, ATF4, CAMK2D, ADCY4, ITPR1, ADCY3, ITPR2, CACNA1D, ITPR3, CACNA1C, ADCY7, EGFR, ADCY6, PLD2, CDC42, MAPK9, MAPK8, GNA11, MAPK1, MAP2K7, CAMK2G, MAPK3, MAP2K6, JUN, MAP3K1, MAPK14, MAPK12, MAPK13, MAPK10, MAPK11, GNAQ, GNAS, KRAS, CALM3, GRB2, CALM1, CALM2",3.479265898,8.58E-18,1.34E-19,4.76E-20
hsa01521:EGFR tyrosine kinase inhibitor resistance,51,1.34E-19,"PTEN, ARAF, PIK3CD, FGF2, AKT2, AKT3, AKT1, JAK2, HRAS, JAK1, PDGFRB, MAP2K1, MAP2K2, HGF, RPS6, GAB1, PRKCA, PIK3CA, RAF1, SOS1, MET, SOS2, SHC2, SHC3, SHC1, PDGFB, PDGFA, PIK3R3, TGFA, PIK3R2, PIK3R1, FOXO3, EGFR, BCL2L11, ERBB2, PDGFC, PLCG2, MAPK1, PLCG1, MAPK3, BAD, STAT3, BRAF, IGF1, RPS6KB1, RPS6KB2, BCL2, BAX, KRAS, GRB2, BCL2L1",3.664703121,4.29E-17,6.59E-19,2.34E-19
hsa04620:Toll-like receptor signaling pathway,60,1.57E-19,"CD40, PIK3CD, IKBKB, TBK1, CASP8, AKT2, CTSK, AKT3, AKT1, MAP3K8, IKBKG, RAC1, IKBKE, MAP3K7, MAP2K3, IFNAR2, MAP2K4, MAP2K1, MAP2K2, CHUK, FOS, IRAK4, TICAM1, PIK3CA, IRF3, TRAF6, IRF7, TLR7, TLR4, TLR3, IFNAR1, PIK3R3, LY96, PIK3R2, PIK3R1, RELA, MAPK9, MAPK8, IRAK1, CCL5, CCL3, MAPK1, RIPK1, CD14, FADD, MAP2K7, MAPK3, MAP2K6, JUN, STAT1, MAPK14, MAPK12, NFKB1, MAPK13, NFKBIA, MAPK10, CXCL10, MAPK11, TAB2, TAB1",3.275017495,5.03E-17,7.62E-19,2.71E-19
hsa03050:Proteasome,37,2.95E-19,"PSMD12, PSMD11, PSMD14, PSMD13, PSMB10, PSMA7, PSMD8, PSMB6, PSMD9, PSMD6, PSMB4, PSMD7, PSMB5, PSMD4, PSMB2, PSMB3, PSMD2, PSMD3, PSMB1, PSMD1, PSMF1, PSMA5, PSMA6, PSMC5, PSMA3, PSMC6, PSMA4, PSMC3, PSMA1, PSMC4, PSMA2, PSMC1, PSME3, PSMC2, PSME4, PSME1, PSME2",4.566038884,9.48E-17,1.42E-18,5.03E-19
hsa04070:Phosphatidylinositol signaling system,57,4.32E-19,"DGKE, DGKD, MTMR14, INPPL1, PTEN, PIK3CD, PIK3C2A, PIK3C2B, IMPA2, PPIP5K2, PIP4K2A, PLCE1, PIP4K2B, SACM1L, IPMK, ITPK1, PRKCA, OCRL, DGKZ, INPP4A, ITPKB, INPP4B, PLCB3, PLCB4, PIK3CA, DGKQ, PIK3C3, PLCB2, PI4K2A, DGKH, MTMR2, ITPR1, PIK3R3, ITPR2, PIK3R2, ITPR3, PIK3R1, MTMR4, MTMR6, MTM1, INPP5B, INPP5D, PLCG2, PIP5K1A, PIP5K1B, PLCG1, PIP5K1C, CDIPT, IP6K1, PIKFYVE, SYNJ1, PI4KA, CALM3, PI4KB, CALM1, CALM2, CDS2",3.335791015,1.39E-16,2.04E-18,7.23E-19
hsa05213:Endometrial cancer,42,5.81E-19,"CDKN1A, TCF7, PTEN, ARAF, ILK, PIK3CD, PIK3R3, PIK3R2, PIK3R1, FOXO3, ELK1, EGFR, CASP9, CCND1, CDH1, MYC, AKT2, AKT3, ERBB2, CTNNA1, AKT1, MAPK1, BAK1, POLK, HRAS, MAPK3, TCF7L2, MAP2K1, TCF7L1, MAP2K2, PDPK1, BAD, BRAF, PIK3CA, BAX, CTNNB1, GRB2, KRAS, RAF1, SOS1, TP53, SOS2",4.110711614,1.86E-16,2.70E-18,9.59E-19
hsa04071:Sphingolipid signaling pathway,64,1.08E-18,"PTEN, PIK3CD, PPP2R2A, PPP2R1B, PPP2R1A, PPP2R5E, AKT2, AKT3, RAC2, AKT1, RAC1, HRAS, CTSD, MAP2K1, MAP2K2, SPHK2, PDPK1, SPHK1, PRKCE, PPP2R5B, PPP2R5A, TRAF2, PPP2R5D, PRKCA, PPP2R5C, GAB2, RHOA, TNFRSF1A, PLCB3, PLCB4, PIK3CA, RAF1, PLCB2, TP53, ROCK2, GNAI3, PIK3R3, PIK3R2, PIK3R1, PRKCZ, RELA, GNAI1, GNAI2, PLD2, PPP2CA, GNA13, PPP2CB, MAPK9, MAPK8, PPP2R3C, MAPK1, FYN, MAPK3, PPP2R3A, MAPK14, MAPK12, NFKB1, MAPK13, MAPK10, MAPK11, GNAQ, BCL2, BAX, KRAS",3.053013508,3.48E-16,4.97E-18,1.77E-18
hsa04014:Ras signaling pathway,98,1.21E-18,"ETS1, FGF2, ELK1, RASSF1, TBK1, AKT2, AKT3, AKT1, PLCE1, PRKACA, PRKACB, PDGFRB, RALBP1, MAP2K1, MAP2K2, HGF, PRKCA, TIAM1, RAF1, SHC2, SHC3, RAB5C, SHC1, PDGFB, PDGFA, PIK3R3, TGFA, PIK3R2, PIK3R1, FOXO4, STK4, EFNA5, PLA2G6, RASGRP1, RASGRP3, PLD2, RAP1B, RAP1A, PDGFC, ABL1, PLCG2, ABL2, PLCG1, RALGDS, IGF1, GNG12, GNG11, NFKB1, EFNA1, GNB2, GNB1, GNB4, CALM3, GRB2, GNB5, CALM1, CALM2, RAB5A, LAT, BCL2L1, FGFR1, PIK3CD, IKBKB, RAC2, IKBKG, RAC1, HRAS, PLA2G12A, CHUK, PLA2G4C, GAB1, PLA2G4A, GAB2, RHOA, ZAP70, PIK3CA, RASA1, RASA2, SOS1, MET, SOS2, RALA, RELA, EGFR, CDC42, MAPK9, MAPK8, GNG2, GNG5, MAPK1, PAK2, PAK4, MAPK3, BAD, PTPN11, MAPK10, KITLG, KRAS",2.397915108,3.90E-16,5.49E-18,1.95E-18
hsa04662:B cell receptor signaling pathway,51,1.36E-18,"INPPL1, PIK3CD, IKBKB, PPP3CA, PPP3CB, PPP3CC, AKT2, AKT3, BLNK, RAC2, AKT1, IKBKG, RAC1, HRAS, VAV3, MAP2K1, MAP2K2, SYK, CHUK, FOS, VAV1, VAV2, PIK3CA, BTK, RAF1, SOS1, SOS2, PIK3R3, PIK3R2, PIK3R1, MALT1, RELA, RASGRP3, PPP3R1, INPP5D, PLCG2, MAPK1, MAPK3, LYN, JUN, NFATC3, NFATC2, LILRB1, LILRB3, LILRB4, NFKB1, NFKBIA, KRAS, GRB2, NFKBIE, NFKBIB",3.530628616,4.35E-16,6.04E-18,2.15E-18
hsa04611:Platelet activation,65,3.16E-18,"ITGB1, ITGB3, PIK3CD, PIK3CG, ACTB, ACTG1, PPP1CB, PPP1CC, AKT2, AKT3, AKT1, PRKACA, PRKACB, GUCY1A2, SYK, ITGA2, PLA2G4C, PLA2G4A, RHOA, PLCB3, PLCB4, ADCY9, PIK3CA, BTK, TLN1, PLCB2, ROCK2, ADCY4, GNAI3, ITPR1, PIK3R3, ADCY3, ITPR2, PIK3R2, ITPR3, PIK3R1, RASGRP1, PRKCZ, ADCY7, MYL12A, GNAI1, ADCY6, GNAI2, MYL12B, PIK3R5, RAP1B, GNA13, RAP1A, PLCG2, MAPK1, FYN, MAPK3, LYN, VASP, MAPK14, MAPK12, MAPK13, PPP1CA, COL1A1, MAPK11, COL3A1, FCGR2A, COL1A2, GNAQ, GNAS",2.975687939,1.01E-15,1.39E-17,4.94E-18
